"PAIS","PROVINCIA"
"VIRGIN_ISLANDS_BRITISH","VIRGIN_ISLANDS,_BRITISH_(GENERAL)"
"FILIPINAS","BATANGAS"
"JAPON","KAGOSHIMA"
"BULGARIA","BURGAS"
"RUMANIA","SIN_INFORMAR"
"INDONESIA","JAWA_TIMUR"
"VENEZUELA","DEPENDENCIAS_FEDERALES"
"SUECIA","OREBRO_LAN"
"POLONIA","SLASKIE"
"RUSIA","STAVROPOL"
"SUECIA","KALMAR_LAN"
"ANGOLA","MOXICO"
"POLONIA","POZNAN"
"ESLOVENIA","TOLMIN"
"REPUBLICA_DOMINICANA","SANTIAGO_RODRIGUEZ"
"BAHAMAS","FREEPORT"
"JAMAICA","SAINT_JAMES"
"SAN_MARINO","FAETANO"
"ESTONIA","TALLINN"
"ARGENTINA","CAMION_(1) "
"ANTILLAS_HOLANDESAS","NETHERLANDS_ANTILLES_(GENERAL)"
"REPUBLICA_DOMINICANA","ELIAS_PINA"
"BULGARIA","PLEVEN"
"COREA_DEL_SUR","CHOLLA-NAMDO"
"JAPON","WAKAYAMA"
" ","MENDOZA"
" ","JUJUY"
"COREA_DEL_SUR","CH_UNGCH_ONG-NAMDO"
"SUECIA","MALMOHUS_LAN"
"REINO_UNIDO","DONCASTER"
" ","FORMOSA"
"ARGENTINA","CIUDAD_AUTONOMA"
"REINO_UNIDO","STOCKTON-ON-TEES"
"ESLOVENIA","KAMNIK"
"ESTADOS_UNIDOS","BUENOS_AIRES"
"REPUBLICA_POPULAR_CHINA","HEBEI"
"REPUBLICA_DOMINICANA","DUARTE"
"JORDANIA","SIN_INFORMAR"
"GRECIA","KHALKIDHIKI"
"GUATEMALA","HUEHUETENANGO"
"REPUBLICA_DOMINICANA","AZUA"
"REINO_UNIDO","BURY"
"MARRUECOS","ESSAOUIRA"
" ","TUCUMAN"
"ARGENTINA","SALTA"
"ARGENTINA","CHUBUT"
"ARGENTINA","CORRIENTES"
"ARGENTINA","JUJUY"
"ARGENTINA","SAN_LUIS"
"ESTADOS_UNIDOS","MINNESOTA"
"ESPAÑA","VALENCIA"
"BRASIL","GOIAS"
"VENEZUELA","ARAGUA"
"ESPAÑA","GUADALAJARA"
"ESPAÑA","PONTEVEDRA"
"ESPAÑA","ALMERIA"
"URUGUAY","MONTEVIDEO"
"ESTADOS_UNIDOS","UTAH"
"SUIZA","BERN"
"BOLIVIA","POTOSI"
"VENEZUELA","MIRANDA"
"ISRAEL","TEL_AVIV"
"BOLIVIA","SIN_INFORMAR"
"ESPAÑA","SALAMANCA"
"ESPAÑA","LLEIDA"
"VENEZUELA","CARABOBO"
"ESTADOS_UNIDOS","INDIANA"
"BELGICA","ANTWERPEN"
"CHILE","BIO-BIO"
"VENEZUELA","NUEVA_ESPARTA"
"COSTA_RICA","ALAJUELA"
"ESTADOS_UNIDOS","SIN_INFORMAR"
"ITALIA","TOSCANA"
"ESTADOS_UNIDOS","OKLAHOMA"
"ESTADOS_UNIDOS","WYOMING"
"BELGICA","BRUSSELS_HOOFDSTEDELIJK_GEWEST"
"ISRAEL","HADAROM"
"REINO_UNIDO","BERKSHIRE"
"AUSTRALIA","QUEENSLAND"
"JAPON","SHIZUOKA"
"COSTA_RICA","LIMON"
"CUBA","CIUDAD_DE_LA_HABANA"
"ESTADOS_UNIDOS","IDAHO"
"ESPAÑA","NAVARRA"
"ESTADOS_UNIDOS","MAINE"
"JAPON","SAITAMA"
"BELGICA","OOST-VLAANDEREN"
"CANADA","NEW_BRUNSWICK"
"SUIZA","TICINO"
"TAILANDIA","NONTHABURI"
"CANADA","NEWFOUNDLAND"
"REPUBLICA_POPULAR_CHINA","SHANGHAI"
"FRANCIA","BASSE-NORMANDIE"
"PARAGUAY","SAN_PEDRO"
"SUECIA","VASTRA_GOTALAND"
"ESTADOS_UNIDOS","LOUISIANA"
"PORTUGAL","SETUBAL"
"JAPON","GUMMA"
"JAPON","SHIGA"
"VENEZUELA","TACHIRA"
"REINO_UNIDO","MILTON_KEYNES"
"JORDANIA","AMMAN"
"HUNGRIA","BUDAPEST"
"REINO_UNIDO","CORNWALL"
"ECUADOR","LOJA"
"BRASIL","MATO_GROSSO_DO_SUL"
"BRASIL","PARAIBA"
"AUSTRIA","OBEROSTERREICH"
"REINO_UNIDO","BEDFORDSHIRE"
"REINO_UNIDO","LEICESTER"
"REINO_UNIDO","LISBURN"
"REINO_UNIDO","BRISTOL,_CITY_OF"
"VIETNAM","H?_CHI_MINH_MUNICIPALITY"
"RUSIA","SIN_INFORMAR"
"REINO_UNIDO","SOUTHAMPTON"
"ANGOLA","LUANDA"
"IRLANDA","SIN_INFORMAR"
"DINAMARCA","VIBORG"
"REINO_UNIDO","MANCHESTER"
"ESPAÑA","CEUTA"
"MEXICO","COLIMA"
"ALEMANIA","SACHSEN-ANHALT"
"TAIWAN","T_AI-WAN"
"PERU","APURIMAC"
"CHIPRE","SIN_INFORMAR"
"EGIPTO","SIN_INFORMAR"
"ESTADOS_UNIDOS","VERMONT"
"PANAMA","BOCAS_DEL_TORO"
"REINO_UNIDO","DERBYSHIRE"
"HONDURAS","CORTES"
"PARAGUAY","CANINDEYU"
"IRLANDA","WESTMEATH"
"GRECIA","KIKLADHES"
"UCRANIA","KHARKIVS_KA_OBLAST"
"JAPON","ISHIKAWA"
"REINO_UNIDO","DORSET"
"FRANCIA","CORSE"
"PERU","PUNO"
"TURQUIA","IZMIR"
"ESLOVENIA","CELJE"
"SERBIA_Y_MONTENEGRO","SIN_INFORMAR"
"COLOMBIA","CAUCA"
"HONDURAS","ISLAS_DE_LA_BAHIA"
"REPUBLICA_DOMINICANA","BARAHONA"
"NIGERIA","ABUJA_CAPITAL_TERRITORY"
"COREA_DEL_SUR","INCH_ON-JIKHALSI"
"RUSIA","SVERDLOVSK"
"TAILANDIA","RAYONG"
"MALTA","MALTA_(GENERAL)"
"ESTONIA","HARJUMAA"
"PARAGUAY","CHACO"
"NUEVA_ZELANDA","WAIMATE"
"IRLANDA","WICKLOW"
"TAILANDIA","UDON_THANI"
"NUEVA_ZELANDA","WAIKATO"
"ANTARTIDA","SIN_INFORMAR"
"REINO_UNIDO","WEST_GLAMORGAN"
"GUATEMALA","SIN_INFORMAR"
"SUIZA","AUSSER-RHODEN"
"REINO_UNIDO","GWENT"
"CHILE","SANTA_CRUZ"
"GUATEMALA","SOLOLA"
"COREA_DEL_SUR","CHEJU-DO"
"ESLOVENIA","DOBROVA-HORJUL-POLHOV_GRADEC"
"SUIZA","INNER-RHODEN"
"POLONIA","LUBLIN"
"LESOTO","BEREA"
"RUSIA","TATARSTAN"
"SIRIA","RIF_DIMASHQ"
"CROACIA","SIBENSKO-KNINSKA"
"PERU","TUMBES"
"ESTONIA","TARTU"
"Paises_Bajos","ZEELAND"
"IRLANDA","CARLOW"
"ECUADOR","BOLIVAR"
"FRENCH_SOUTHERN_TERRITORIES","SIN_INFORMAR"
"FINLANDIA","EASTERN_FINLAND"
"ESLOVAQUIA","TRENCIN"
"GUATEMALA","QUETZALTENANGO"
"REINO_UNIDO","HIGHLAND"
"HOLANDA","ZEELAND"
"COREA_DEL_SUR","TAEJON-JIKHALSI"
"REINO_UNIDO","DURHAM"
"SANTA_LUCIA","GROS-ISLET"
" ","CORDOBA"
" ","ENTRE RIOS"
"ARABIA_SAUDITA","AL_QASIM"
"EL_SALVADOR","SONSONATE"
"ISLAS_CAIMAN","WEST_END"
"TAILANDIA","TAK"
"REPUBLICA_CHECA","USTECKY_KRAJ"
"SUIZA","URI"
"NUEVA_ZELANDA","RODNEY"
"PERU","HUANCAVELICA"
"ARGENTINA","RIO_NEGRO"
"ARGENTINA","SANTIAGO_DEL_ESTERO"
"ARGENTINA","SANTA_CRUZ"
"AUSTRALIA","VICTORIA"
"REPUBLICA_POPULAR_CHINA","FUJIAN"
"URUGUAY","MALDONADO"
"FRANCIA","ILE-DE-FRANCE"
"Paises_Bajos","NOORD-HOLLAND"
"URUGUAY","SALTO"
"ESPAÑA","VIZCAYA"
"ESPAÑA","MALLORCA"
"PERU","CUSCO"
"URUGUAY","CERRO_LARGO"
"SUIZA","LUZERN"
"MEXICO","NUEVO_LEON"
"ESPAÑA","GIRONA"
"COSTA_RICA","SAN_JOSE"
"NUEVA_ZELANDA","SIN_INFORMAR"
"PANAMA","PANAMA"
"CHILE","COQUIMBO"
"ESTADOS_UNIDOS","WASHINGTON"
"EMIRATOS_ARABES_UNIDOS","ABU_DHABI"
"FRANCIA","HAUTE-NORMANDIE"
"MEXICO","BAJA_CALIFORNIA"
"BRASIL","ESPIRITO_SANTO"
"ESPAÑA","AVILA"
"FRANCIA","LANGUEDOC-ROUSSILLON"
"REINO_UNIDO","SIN_INFORMAR"
"CHILE","LOS_LAGOS"
"ESPAÑA","MURCIA"
"ITALIA","TRENTINO-ALTO_ADIGE"
"FRANCIA","RHONE-ALPES"
"BELGICA","LIEGE"
"COLOMBIA","SANTANDER"
"INDONESIA","BALI"
"JAPON","OKINAWA"
"ESPAÑA","ORENSE"
"ISRAEL","HAMERKAZ"
"ESPAÑA","VALLADOLID"
"FRANCIA","PAYS_DE_LA_LOIRE"
"AUSTRIA","STEIERMARK"
"REINO_UNIDO","CAMBRIDGESHIRE"
"REINO_UNIDO","EDINBURGH,_CITY_OF"
"TURQUIA","ANKARA"
"MEXICO","YUCATAN"
"REPUBLICA_CHECA","SIN_INFORMAR"
"JAPON","TOYAMA"
"ITALIA","SARDEGNA"
"MEXICO","CHIHUAHUA"
"Paises_Bajos","OVERIJSSEL"
"HAITI","OUEST"
"REPUBLICA_POPULAR_CHINA","GUANGDONG"
"ESLOVENIA","MENGES"
"LIBANO","LIBAN-NORD"
"ESTADOS_UNIDOS","SOUTH_DAKOTA"
"URUGUAY","ARTIGAS"
"PERU","AYACUCHO"
"ALBANIA","TIRANE"
"ITALIA","VALLE_D_AOSTA"
"CHILE","TARAPACA"
"REINO_UNIDO","YORK"
"VENEZUELA","LARA"
"REPUBLICA_POPULAR_CHINA","SIN_INFORMAR"
"VENEZUELA","BARINAS"
"PARAGUAY","NUEVA_ASUNCION"
"REINO_UNIDO","KENT"
"ESPAÑA",""
"ANDORRA","ESCALDES-ENGORDANY"
"JAPON","IBARAKI"
"PERU","JUNIN"
"IRLANDA","CLARE"
"FRANCIA","ALSACE"
"GUATEMALA","SAN_MARCOS"
"UCRANIA","KYYIV"
"KUWAIT","SIN_INFORMAR"
"UCRANIA","L_VIVS_KA_OBLAST"
"UCRANIA","KYYIVS_KA_OBLAST"
"ARABIA_SAUDITA","SIN_INFORMAR"
"JAPON","MIE"
"SEYCHELLES","GLACIS"
"SUIZA","FRIBOURG"
"JAPON","FUKUOKA"
"PORTUGAL","SANTAREM"
"MALASIA","WILAYAH_PERSEKUTUAN"
"TAIWAN","SIN_INFORMAR"
"SUIZA","GLARUS"
"ESLOVENIA","RADOVLJICA"
"FRANCIA","POITOU-CHARENTES"
"REINO_UNIDO","GLOUCESTERSHIRE"
"PARAGUAY","BUENOS_AIRES"
"ZIMBABUE","MASHONALAND_CENTRAL"
"MARRUECOS","CASABLANCA"
"Paises_Bajos","DRENTHE"
"COSTA_RICA","SIN_INFORMAR"
"AUSTRIA","SALZBURG"
"PERU","TACNA"
"REINO_UNIDO","EAST_RENFREWSHIRE"
"Paises_Bajos","NOORD-BRABANT"
"NUEVA_ZELANDA","SOUTHLAND"
"PORTUGAL","LEIRIA"
"GUADALUPE","GUADELOUPE_DEPARTEMENT"
"ZAMBIA","LUSAKA"
"HOLANDA","GELDERLAND"
"ARMENIA","ARARAT"
"NUEVA_ZELANDA","KAIKOURA"
"PARAGUAY","AMAMBAY"
"RUMANIA","CONSTANTA"
"ISLANDIA","REYKJAVIK"
"COLOMBIA","BOYACA"
"TURQUIA","BALIKESIR"
"UCRANIA","RIVNENS_KA_OBLAST"
"HONG_KONG","SIN_INFORMAR"
"ARGENTINA","RHEINLAND-PFALZ"
"HOLANDA","FLEVOLAND"
"UCRANIA","DNIPROPETROVS_KA_OBLAST"
"REINO_UNIDO","HUMBERSIDE"
"UCRANIA","CHERKAS_KA_OBLAST"
"SUIZA","OBWALDEN"
"ISRAEL","YEHUDA_VESHOMRON"
"TURQUIA","ANTALYA"
"GUINEA_ECUATORIAL","BIOKO_NORTE"
"UCRANIA","CHERNIHIVSKA_OBLAST"
"REINO_UNIDO","BRIDGEND"
"REINO_UNIDO","WESTMINSTER"
"REINO_UNIDO","PEMBROKESHIRE"
"FILIPINAS","LIPA"
"REINO_UNIDO","FIFE"
"REPUBLICA_DOMINICANA","SAN_CRISTOBAL"
"REINO_UNIDO","LAMBETH"
"JAPON","HOKKAIDO"
"REINO_UNIDO","WORCESTERSHIRE"
"CUBA","MATANZAS"
"RUSIA","KALININGRAD"
"REPUBLICA_DOMINICANA","MARIA_TRINIDAD_SANCHEZ"
"UCRANIA","KHERSONS_KA_OBLAST"
"VENEZUELA","DELTA_AMACURO"
"HONDURAS","SIN_INFORMAR"
"LETONIA","SIN_INFORMAR"
"GRECIA","ILIA"
"REINO_UNIDO","HILLINGDON"
"SANTA_LUCIA","CASTRIES"
"VIRGIN_ISLANDS_U.S.","SIN_INFORMAR"
"RUMANIA","CALARASI"
"REINO_UNIDO","LUTON"
"INDONESIA","BANTEN"
"SUDAN","SIN_INFORMAR"
"UCRANIA","ZAPORIZ_KA_OBLAST"
" ","SANTA CRUZ"
" ","TIERRA DEL FUEGO"
"LIECHTENSTEIN","ESCHEN"
"REPUBLICA_DOMINICANA","PERAVIA"
"PORTUGAL","VILA_REAL"
"REINO_UNIDO","ISLE_OF_ANGLESEY"
"SUDAFRICA","NORTHERN_CAPE"
"GUATEMALA","RETALHULEU"
"ECUADOR","MORONA-SANTIAGO"
"GRECIA","KHIOS"
"ARGENTINA","CATAMARCA"
"",""
"ESPAÑA","BARCELONA"
"MEXICO","DISTRITO_FEDERAL"
"REINO_UNIDO","LONDON,_CITY_OF"
"ESTADOS_UNIDOS","FLORIDA"
"ESTADOS_UNIDOS","TEXAS"
"CANADA","QUEBEC"
"ESPAÑA","CACERES"
"BOLIVIA","TARIJA"
"BRASIL","SAO_PAULO"
"CHILE","LOS_RíOS"
"FRANCIA","SIN_INFORMAR"
"ALEMANIA","SIN_INFORMAR"
"ESTADOS_UNIDOS","SOUTH_CAROLINA"
"COLOMBIA","ANTIOQUIA"
"ISRAEL","SIN_INFORMAR"
"URUGUAY","COLONIA"
"BRASIL","PARANA"
"CHILE","LIBERTADOR_GENERAL_BERNARDO_OHIGGINS"
"ESPAÑA","BURGOS"
"ESTADOS_UNIDOS","MASSACHUSETTS"
"PERU","ICA"
"ESTADOS_UNIDOS","DISTRICT_OF_COLUMBIA"
"BRASIL","RIO_GRANDE_DO_SUL"
"LIBANO","MONT-LIBAN"
"ESTADOS_UNIDOS","NORTH_CAROLINA"
"PARAGUAY","SIN_INFORMAR"
"EL_SALVADOR","LA_LIBERTAD"
"ESTADOS_UNIDOS","KENTUCKY"
"AUSTRALIA","SIN_INFORMAR"
"MEXICO","AGUASCALIENTES"
"MEXICO","SIN_INFORMAR"
"ESPAÑA","TOLEDO"
"ESTADOS_UNIDOS","DELAWARE"
"HOLANDA","ZUID-HOLLAND"
"SUIZA","BASEL-STADT"
"COREA_DEL_SUR","SIN_INFORMAR"
"MEXICO","HIDALGO"
"HOLANDA","NOORD-HOLLAND"
"ESPAÑA","JAEN"
"REINO_UNIDO","DEVON"
"NICARAGUA","MANAGUA"
"REINO_UNIDO","SOUTH_YORKSHIRE"
"ESTADOS_UNIDOS","OHIO"
"PORTUGAL","LISBOA"
"TAILANDIA","PATHUM_THANI"
"ITALIA","CALABRIA"
"LIBANO","LIBAN-SUD"
"COLOMBIA","AMAZONAS"
"BRASIL","SERGIPE"
"ESPAÑA","ALAVA"
"SUECIA","VASTERBOTTENS_LAN"
"CHILE","MAGALLANES_Y_DE_LA_ANTARTICA_CHILENA"
"MEXICO","OAXACA"
"SUIZA","VALAIS"
"JAPON","HYOGO"
"REINO_UNIDO","WAKEFIELD"
"ISLAS_CAIMAN","SIN_INFORMAR"
"SUECIA","STOCKHOLMS_LAN"
"AUSTRIA","WIEN"
"ESTADOS_UNIDOS","NEBRASKA"
"RUSIA","ASTRAKHAN"
"INDONESIA","SIN_INFORMAR"
"REINO_UNIDO","MONMOUTHSHIRE"
"BULGARIA","VELIKO_TURNOVO"
"BELGICA","BRABANT_WALLON"
"PERU","HUANUCO"
"COSTA_RICA","PUNTARENAS"
"ESTADOS_UNIDOS","RHODE_ISLAND"
"AUSTRIA","NIEDEROSTERREICH"
"COLOMBIA","CALDAS"
"KIRGUISTAN","SIN_INFORMAR"
"INDONESIA","RIAU"
"FINLANDIA","SOUTHERN_FINLAND"
"DOMINICA","SIN_INFORMAR"
"INDIA","DELHI"
"CHILE","AISEN_DEL_GRAL_CARLOS_IBANEZ_DEL_CAMPO"
"KUWAIT","AL_AHMADI"
"REPUBLICA_POPULAR_CHINA","GUANGXI"
"QATAR","SIN_INFORMAR"
"COLOMBIA","RISARALDA"
"SUDAFRICA","EASTERN_CAPE"
"SAN_MARINO","SIN_INFORMAR"
"KUWAIT","AL_KUWAYT"
"BAHAMAS","SIN_INFORMAR"
"FRANCIA","AUVERGNE"
"ISRAEL","HEFA"
"REPUBLICA_POPULAR_CHINA","JIANGSU"
"COLOMBIA","SAN_ANDRES_Y_PROVIDENCIA"
"BRASIL","AMAPA"
"FILIPINAS","CEBU"
"HOLANDA","SIN_INFORMAR"
"ARABIA_SAUDITA","ASH_SHARQIYAH"
"FILIPINAS","SIN_INFORMAR"
"POLONIA","KUJAWSKO-POMORSKIE"
"UCRANIA","CHERNIVETS_KA_OBLAST"
"PARAGUAY","NEEMBUCU"
"TRINIDAD_Y_TOBAGO","PORT-OF-SPAIN"
"BAHAMAS","NEW_PROVIDENCE"
"REINO_UNIDO","READING"
"CAMBOYA","SIEMREAB-OTDAR_MEANCHEY"
"ANDORRA","SANT_JULIA_DE_LORIA"
"REINO_UNIDO","SHEFFIELD"
"ESTADOS_UNIDOS","VIRGIN_ISLANDS"
"AUSTRALIA","TASMANIA"
"SUIZA","GRAUBUNDEN"
"CUBA","VILLA_CLARA"
"ARUBA","SIN_INFORMAR"
"INDIA","HARYANA"
"ESLOVENIA","IDRIJA"
"DINAMARCA","FYN"
"NUEVA_ZELANDA","TARANAKI"
"ANTILLAS_HOLANDESAS","SIN_INFORMAR"
"REINO_UNIDO","DUNDEE_CITY"
"Paises_Bajos","GELDERLAND"
"LIBANO","BUENOS_AIRES"
"REINO_UNIDO","SALFORD"
"ECUADOR","CANAR"
"REINO_UNIDO","BRENT"
"Paises_Bajos","LIMBURG"
"MOZAMBIQUE","SIN_INFORMAR"
"SUECIA","VASTERNORRLANDS_LAN"
"PERU","PASCO"
"PANAMA","COCLE"
"COLOMBIA","LA_GUAJIRA"
"HOLANDA","OVERIJSSEL"
"KENIA","NAIROBI_AREA"
"CHIPRE","NICOSIA"
"REINO_UNIDO","WEST_YORKSHIRE"
"UCRANIA","ODES_KA_OBLAST"
"ESLOVAQUIA","BRATISLAVA"
"FRENCH_GUIANA","GUYANE_DEPARTEMENT"
"MALASIA","PULAU_PINANG"
"IRLANDA","DONEGAL"
"JAPON","GIFU"
"REINO_UNIDO","NORTHUMBERLAND"
"GRECIA","AKHAIA"
"MOLDAVIA","CHISINAU"
"REINO_UNIDO","WEST_LOTHIAN"
"REPUBLICA_DOMINICANA","LA_VEGA"
"REINO_UNIDO","SOUTH_GLAMORGAN"
"CAMBOYA","PHNUM_PENH"
"REINO_UNIDO","BARNET"
"GUATEMALA","CHIMALTENANGO"
"DINAMARCA","ROSKILDE"
"EL_SALVADOR","SANTA_ANA"
"TAILANDIA","CHIANG_MAI"
"REINO_UNIDO","NEWPORT"
"RUSIA","ROSTOV"
"ARMENIA","SIN_INFORMAR"
"COLOMBIA","CAQUETA"
"CUBA","HOLGUIN"
"ARGELIA","ORAN"
"ESTADO_DE_CIUDAD_DEL_VATICANO","SIN_INFORMAR"
"SAN_MARINO","FIORENTINO"
"GUATEMALA","ALTA_VERAPAZ"
"LUXEMBURGO","DIEKIRCH"
"BOTSUANA","SOUTH-EAST"
"SUECIA","GOTLANDS_LAN"
"REPUBLICA_POPULAR_CHINA","TIANJIN"
"BOSNIA_Y_HERZEGOVINA","SIN_INFORMAR"
"REINO_UNIDO","FALKIRK"
"REINO_UNIDO","SHROPSHIRE"
"JAPON","AOMORI"
"NICARAGUA","CHONTALES"
"RUMANIA","ILFOV"
"BOLIVIA","BUENOS_AIRES"
"NUEVA_ZELANDA","TAUPO"
"REINO_UNIDO","CLEVELAND"
"INDONESIA","JAWA_BARAT"
"ESLOVAQUIA","SIN_INFORMAR"
"INDIA","KARNATAKA"
"ARMENIA","SHIRAK"
"COSTA_DE_MARFIL","GAGNOA"
"GRECIA","IRAKLION"
"PAKISTAN","PUNJAB"
"REINO_UNIDO","GRAMPIAN"
"REINO_UNIDO","HACKNEY"
" ","SALTA"
" ","MISIONES"
"PERU","UCAYALI"
"BULGARIA","LOVECH"
"REPUBLICA_CHECA","JIHOCESKY_KRAJ"
"BELICE","BELIZE"
" ","SAN LUIS"
"GUATEMALA","ZACAPA"
"REINO_UNIDO","CARMARTHENSHIRE"
"NUEVA_ZELANDA","WHAKATANE"
"JAPON","YAMAGUCHI"
"SUDAFRICA","LIMPOPO"
"REINO_UNIDO","STOCKPORT"
"REINO_UNIDO","GREENWICH"
" ","RIO NEGRO"
"ESLOVENIA","CERKLJE_NA_GORENJSKEM"
" ","CHACO"
"NORUEGA","AUST-AGDER"
"ARGENTINA","CIUDAD_DE_BUENOS_AIRES"
"ARGENTINA","CHACO"
"ARGENTINA","NEUQUEN"
"ARGENTINA","LA_RIOJA"
"ITALIA","SIN_INFORMAR"
"MEXICO","MEXICO"
"BRASIL","SANTA_CATARINA"
"ITALIA","LAZIO"
"PARAGUAY","ITAPUA"
"ESPAÑA","GUIPUZCOA"
"MEXICO","VERACRUZ-LLAVE"
"MEXICO","PUEBLA"
"ESPAÑA","CADIZ"
"GUATEMALA","GUATEMALA"
"BRASIL","DISTRITO_FEDERAL"
"ESPAÑA","CASTELLON"
"MEXICO","MORELOS"
"FINLANDIA","SIN_INFORMAR"
"Paises_Bajos","SIN_INFORMAR"
"MEXICO","JALISCO"
"JAPON","AICHI"
"ESPAÑA","LA_CORUÑA"
"ECUADOR","GUAYAS"
"ESTADOS_UNIDOS","MARYLAND"
"ESTADOS_UNIDOS","ARIZONA"
"PARAGUAY","CORDILLERA"
"PUERTO_RICO","SIN_INFORMAR"
"ESTADOS_UNIDOS","TENNESSEE"
"COLOMBIA","TOLIMA"
"ALEMANIA","BREMEN"
"URUGUAY","SAN_JOSE"
"BRASIL","MINAS_GERAIS"
"FRANCIA","CENTRE"
"ESPAÑA","ZARAGOZA"
"ESTADOS_UNIDOS","NEW_MEXICO"
"CHILE","ARAUCANIA"
"MEXICO","GUANAJUATO"
"ITALIA","PUGLIA"
"REPUBLICA_DOMINICANA","DISTRITO_NACIONAL"
"ARABIA_SAUDITA","AR_RIYAD"
"REINO_UNIDO","SOLIHULL"
"IRLANDA","KILKENNY"
"PARAGUAY","MISIONES"
"NUEVA_ZELANDA","WHANGAREI"
"PUERTO_RICO","PUERTO_RICO_(GENERAL)"
"VENEZUELA","YARACUY"
"REINO_UNIDO","WOKINGHAM"
"BRASIL","SIN_INFORMAR"
"BELGICA","SIN_INFORMAR"
"URUGUAY","DURAZNO"
"VENEZUELA","ANZOATEGUI"
"ESPAÑA","SORIA"
"LIBANO","BEQAA"
"ESPAÑA","CIUDAD_REAL"
"VENEZUELA","SUCRE"
"TAILANDIA","KRUNG_THEP"
"PORTUGAL","GUARDA"
"BRASIL","CEARA"
"REINO_UNIDO","NEWHAM"
"NORUEGA","OSLO"
"CHILE","MAULE"
"GRECIA","SIN_INFORMAR"
"ESTADOS_UNIDOS","MISSISSIPPI"
"ANDORRA","CANILLO"
"BELGICA","BRABANT"
"ECUADOR","COTOPAXI"
"PERU","ANCASH"
"REINO_UNIDO","HAMPSHIRE"
"JAPON","OSAKA"
"JAPON","CHIBA"
"PERU","MOQUEGUA"
"PANAMA","VERAGUAS"
"SINGAPUR","SIN_INFORMAR"
"ARABIA_SAUDITA","MAKKAH"
"CUBA","SIN_INFORMAR"
"COLOMBIA","BOLIVAR"
"LUXEMBURGO","SIN_INFORMAR"
"COLOMBIA","SIN_INFORMAR"
"ISRAEL","HAZAFON"
"ESTADOS_UNIDOS","WEST_VIRGINIA"
"REINO_UNIDO","HEREFORDSHIRE"
"REINO_UNIDO","EAST_SUSSEX"
"ESLOVENIA","CERKNICA"
"BULGARIA","SIN_INFORMAR"
"PERU","LAMBAYEQUE"
"REINO_UNIDO","WILTSHIRE"
"EGIPTO","AL_ISKANDARIYAH"
"REINO_UNIDO","SWINDON"
"REPUBLICA_DOMINICANA","PUERTO_PLATA"
"IRLANDA","GALWAY"
"ALEMANIA","THURINGEN"
"GUATEMALA","SACATEPEQUEZ"
"SUIZA","NIDWALDEN"
"ARMENIA","YEREVAN"
"SUECIA","SKANE_LAN"
"FRANCIA","LORRAINE"
"REINO_UNIDO","LEEDS"
"AUSTRALIA","AUSTRALIAN_CAPITAL_TERRITORY"
"HOLANDA","NOORD-BRABANT"
"VENEZUELA","COJEDES"
"BELICE","CAYO"
"DINAMARCA","NORDJYLLAND"
"IRLANDA","MEATH"
"BOTSUANA","SIN_INFORMAR"
"ITALIA","BASILICATA"
"JAPON","OKAYAMA"
"REINO_UNIDO","ABERDEEN_CITY"
"AUSTRIA","VORARLBERG"
"IRLANDA","LOUTH"
"REINO_UNIDO","SWANSEA"
"MACEDONIA","SIN_INFORMAR"
"NORUEGA","OSTFOLD"
"REPUBLICA_POPULAR_CHINA","NEI_MONGOL"
"BELGICA","VLAAMS-BRABANT"
"POLONIA","SIN_INFORMAR"
"REINO_UNIDO","HOUNSLOW"
"POLONIA","WIELKOPOLSKIE"
"ECUADOR","CHIMBORAZO"
"REINO_UNIDO","SUTTON"
"TANZANIA","KIGOMA"
"REINO_UNIDO","TOWER_HAMLETS"
"RUSIA","NOVOSIBIRSK"
"SUECIA","KRONOBERGS_LAN"
"ESTADOS_UNIDOS","MONTANA"
"SUDAFRICA","MPUMALANGA"
"REINO_UNIDO","STAFFORDSHIRE"
"MALASIA","SIN_INFORMAR"
"HOLANDA","LIMBURG"
"REINO_UNIDO","ROCHDALE"
"COSTA_DE_MARFIL","ABIDJAN"
"SUECIA","OSTERGOTLANDS_LAN"
"REINO_UNIDO","LIVERPOOL"
"GRECIA","THESSALONIKI"
"TURQUIA","ICEL"
"REINO_UNIDO","ENFIELD"
"SIRIA","TARTUS"
"PERU","MADRE_DE_DIOS"
"REINO_UNIDO","RHONDDA_CYNON_TAFF"
"REINO_UNIDO","DOWN"
"UGANDA","KAMPALA"
"TUNEZ","TUNIS"
"PORTUGAL","AZORES"
"ANGOLA","LUANDA_PROVINCE"
"REINO_UNIDO","SLOUGH"
"NUEVA_ZELANDA","FRANKLIN"
"ALBANIA","VLORE"
"JAPON","HIROSHIMA"
"ARABIA_SAUDITA","AL_HUDUD_ASH_SHAMALIYAH"
"ARGELIA","SIN_INFORMAR"
"MALTA","SIN_INFORMAR"
"ISLANDIA","SIN_INFORMAR"
"BRASIL","AMAZONAS"
"LUXEMBURGO","GREVENMACHER"
"LIBIA","TARABULUS"
"AUSTRALIA","NORTHERN_TERRITORY"
"SRI_LANKA","COLOMBO"
"TAILANDIA","UBON_RATCHATHANI"
"SURINAM","PARAMARIBO"
"JAMAICA","SIN_INFORMAR"
"REINO_UNIDO","MEDWAY"
"BULGARIA","VARNA"
"IRLANDA","LAOIS"
"SAN_MARINO","DOMAGNANO"
